name,cuisines,rest_type,rate,dollar_sign,restaurant_value,x,y
Jalsa,NorthIndian,CasualDining,4.1,2,4,-1.6931906340692435,0.8935647550381138
Spice Elephant,Chinese,CasualDining,4.1,2,4,0.11880144502993227,-1.7049081959627104
Addhuri Udupi Bhojana,SouthIndian,QuickBites,3.7,1,2,0.44992373320335693,0.39728528301709065
Grand Village,NorthIndian,CasualDining,3.8,2,2,-0.9223763937009988,-0.6083119773527573
Timepass Dinner,NorthIndian,CasualDining,3.8,2,2,1.5286529091082004,0.3771538188144642
Rosewood International Hotel - Bar & Restaurant,NorthIndian,CasualDining,3.6,2,2,-0.08037413357494975,1.1908732078388786
Srinathji's Cafe,NorthIndian,CasualDining,3.8,2,2,-2.062203013781328,0.4746213520046419
Foodiction,NorthIndian,QuickBites,2.8,2,0,-1.5135548138834556,0.9684294793461096
Faasos,NorthIndian,QuickBites,4.2,2,3,-0.7203438547658488,-1.1080692041709408
Fast And Fresh,NorthIndian,QuickBites,2.8,1,0,1.6732347635189049,1.041520210700057
Szechuan Dragon,Chinese,CasualDining,4.2,2,4,-0.5777931636231399,-3.023242620142055
Empire Restaurant,NorthIndian,CasualDining,4.4,2,5,0.12520520851670452,-0.5913841137347701
Maruthi Davangere Benne Dosa,SouthIndian,QuickBites,4.0,1,3,0.28245690151211333,-0.8029408271807268
Kitchen Garden,NorthIndian,QuickBites,3.6,1,2,0.7735088200025354,0.9897277293902167
Recipe,NorthIndian,CasualDining,4.0,1,4,-0.016751077169232593,-0.8337947967032959
Beijing Bites,Chinese,CasualDining,3.7,2,2,0.3103771101237916,-1.0609391381738087
Tasty Bytes,NorthIndian,QuickBites,3.1,1,0,1.1264748647961371,0.8474886535111558
Petoo,NorthIndian,QuickBites,3.7,1,2,0.8611773378158416,0.4855559568763637
Shree Cool Point,FastFood,QuickBites,4.1,1,3,1.7135790054077893,0.1362560986677323
Biryanis And More,Biryani,CasualDining,4.0,2,3,1.275586333054496,-0.24255742502630845
Banashankari Donne Biriyani,Biryani,QuickBites,3.8,1,2,-0.15032562041711245,-0.7741079217648846
Five Star Chicken,FastFood,QuickBites,3.6,1,2,-0.5596108261337092,0.022314946657899258
Chinese Kitchen,Chinese,QuickBites,3.8,1,2,0.5604386032841314,0.6422779610507593
1947,NorthIndian,CasualDining,4.0,2,4,0.31541052499009603,-0.9696761340450814
Kabab Magic,NorthIndian,QuickBites,4.1,1,4,-1.706202410359792,1.100821187258827
Namma Brahmin's Idli,SouthIndian,QuickBites,3.6,1,2,-0.05737968950513831,-0.3248594968966739
The Biryani Cafe,Biryani,QuickBites,4.1,1,3,-1.5358163715327044,0.7864660656979383
Rolls On Wheels,FastFood,QuickBites,3.6,1,2,-1.0617391134026335,0.393171156769933
Sri Guru Kottureshwara Davangere Benne Dosa,SouthIndian,QuickBites,4.1,1,3,0.5281127222989985,-0.09237668909984888
Devanna Dum Biriyani Centre,Biryani,QuickBites,3.6,1,2,-0.20856680817673864,1.0421081686815035
Kolbeh,FastFood,QuickBites,3.7,2,2,0.037546339157500004,-0.8301991024258384
Upahar Sagar,SouthIndian,QuickBites,3.8,1,2,0.5821175155103556,0.8968213822296701
Vaishali Deluxe,NorthIndian,CasualDining,3.8,2,2,-0.5702822849736277,0.23553190726135242
Meghana Foods,Biryani,CasualDining,4.4,2,5,-1.0403835905508887,-1.2794156105984618
Krishna Sagar,NorthIndian,QuickBites,3.0,1,0,0.30551003876083993,-0.8634366533621674
Chickpet Donne Biryani House,Biryani,QuickBites,3.7,1,2,-0.8472252578746257,1.023723294603908
Nandhini Deluxe,NorthIndian,CasualDining,2.6,2,0,0.8118680770680448,-0.8755762131467871
Kaggis,FastFood,QuickBites,3.8,1,2,3.3617951471722236,-1.2013194084465009
Ayda Persian Kitchen,NorthIndian,CasualDining,3.7,2,2,-0.5929908475689646,0.5294925838726701
Chatar Patar,FastFood,QuickBites,3.7,1,2,0.5666654147001878,1.2204524040926974
Kidambi's Kitchen,SouthIndian,QuickBites,3.0,1,0,0.02724655717015456,0.008745699514414465
Mane Thindi,SouthIndian,QuickBites,3.7,1,2,-0.02009105521639458,0.03852951893083119
Kotian Karavali Restaurant,SouthIndian,QuickBites,3.0,1,0,-0.3179337758098162,0.6229755030090217
Spice 9,Biryani,QuickBites,3.4,1,1,-1.332875939421121,-1.2406895843972516
Naveen Kabab & Biriyani Mane,Biryani,QuickBites,3.2,1,1,1.3419233897868394,1.0265644367080768
Katriguppe Donne Biryani,NorthIndian,QuickBites,3.2,1,1,-0.002536124334609355,-1.509954950752717
Atithi Point Ande Ka Funda,NorthIndian,QuickBites,3.1,1,0,1.8042115226527324,0.9754390258180275
Bengaluru Coffee House,SouthIndian,QuickBites,4.1,1,3,-1.5197915363563061,-0.221030221497913
